Part;Value;Device;Package;Description;DIGIKEY_PARTNO;MANUFACTURER;MPN;PACKAGE
D1;CDBA360-HF;SS12;SMA;DIODE SCHOTTKY 60V 3A DO214AC;CDBA360-HF;Comchip Technology;SS12;SMA (DO-214AC)
D2;CDBA360-HF;SS12;SMA;DIODE SCHOTTKY 60V 3A DO214AC;CDBA360-HF;Comchip Technology;SS12;SMA (DO-214AC)
F1;ESKA PTF/18SMD 5A 230V;65800001109;65800001109;FUSE BLOK CARTRIDGE 250V 10A SMD;WK6249TR-ND;Littelfuse Inc.;65800001109;65800001109
X1;DC1 IN;22-23-20212PIN;2PIN;Schraubklemmblock 1.5mm2 2-Pin RM3.5;277-1721-ND;Phoenix Contacts;1984617;2 PIN Through-Hole
X2;DC2 IN;22-23-20212PIN;2PIN;Schraubklemmblock 1.5mm2 2-Pin RM3.5;277-1721-ND;Phoenix Contacts;1984617;2 PIN Through-Hole
X3;DC1 OUT;22-23-20212PIN;2PIN;Schraubklemmblock 1.5mm2 2-Pin RM3.5;277-1721-ND;Phoenix Contacts;1984617;2 PIN Through-Hole
X4;DC2 OUT;22-23-20212PIN;2PIN;Schraubklemmblock 1.5mm2 2-Pin RM3.5;277-1721-ND;Phoenix Contacts;1984617;2 PIN Through-Hole
